[2024-12-26 17:57:08] POST inserirPedido/1 | status: 400 | Dados: {"nome":"aluisio","tipo_pagamento":"pix","entrega":true,"bairro":"klnshdlahd","rua":"hSksu","numero_casa":3874893} | Resposta: {"error":"O campo {produtos} \u00e9 obrigat\u00f3rio!"}
[2024-12-28 11:12:57] POST inserirEmpresa | status: 400 | Dados: {"nome":"Pizaria do ze"} | Resposta: {"error":"O campo { endereco } e obrigatorio!!"}
[2024-12-28 11:13:24] POST inserirEmpresa | status: 400 | Dados: {"nome":"Pizaria do ze","endereco":"av ze pizzaria"} | Resposta: {"error":"O campo { whastapp } e obrigatorio!!"}
[2024-12-28 11:14:13] POST inserirEmpresa | status: 400 | Dados: {"nome":"Pizaria do ze","endereco":"av ze pizzaria","whastapp":"0000000000000"} | Resposta: {"error":"O campo { logo } e obrigatorio!!"}
[2024-12-28 11:28:35] POST inserirUser | status: 401 | Dados: {"id":2,"nome":"ze","cargo":"empresario","codigo":"0000","senha":"123"} | Resposta: {"unauthorized":"Voce nao esta autorizado a essa operacao faca login"}
[2024-12-28 11:33:16] POST login | status: 400 | Dados: {"nome":"ze","cargo":"empresario","codigo":"0000","senha":"123","id_empresa":1} | Resposta: {"error":"N\u00e3o existe user com esses par\u00e2metros"}
[2024-12-28 11:53:16] POST login | status: 400 | Dados: {"nome":"aluisio lima","cargo":"dev","codigo":"0612","senha":"12345","id_empresa":1} | Resposta: {"error":"Sua senha est\u00e1 errada!!!"}
[2024-12-28 11:53:41] PUT updateEmpresa | status: 400 | Dados: {"nome":"Pizaria do aluiz","endereco":"av ze pizzaria","whastapp":"0000000000000","logo":"sadjdkldkl","instagram":"aluiz_nt","facebook":"facebook","email":"email"} | Resposta: {"error":"Voce nao tem autorizacao de atualiza essa empresa !!!"}
[2024-12-28 20:31:13] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:32:24] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:33:18] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:33:33] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:33:34] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:33:35] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:33:35] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:33:36] GET pegarEmpresas | status: 400 | Dados: {"url":"pegarEmpresas"} | Resposta: {"error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'"}
[2024-12-28 20:43:16] POST inserirEmpresa | status: 401 | Dados: {"nome":"Pizaria do ze","endereco":"av ze pizzaria","whastapp":"0000000000000","logo":"sadjdkldkl","instagram":"aluiz_nt"} | Resposta: {"unauthorized":"Desculpada mais voce nao passou o Token"}
[2024-12-28 20:44:17] PUT desativaEmpresa | status: 401 | Dados: [] | Resposta: {"error":"Error nao existe esse metodo pra essa rota"}
[2024-12-28 20:44:26] POST desativaEmpresa | status: 401 | Dados: [] | Resposta: {"error":"Error nao existe esse metodo pra essa rota"}
[2024-12-28 20:44:53] DELETE desativaEmpresa | status: 401 | Dados: [] | Resposta: {"unauthorized":"Desculpada mais voce nao passou o Token"}
[2024-12-29 00:06:55] POST ativaEmpresa | status: 401 | Dados: [] | Resposta: {"unauthorized":"Desculpada mais voce nao passou o Token"}
[2024-12-29 00:07:23] POST ativaEmpresa | status: 400 | Dados: [] | Resposta: {"error":"O campo { id } e obrigatorio!!"}
[2024-12-29 00:19:01] GET pegarProdutos/1 | status: 400 | Dados: {"url":"pegarProdutos\/1"} | Resposta: {"error":"SQLSTATE[23000]: Integrity constraint violation: 1052 Column 'tipo' in field list is ambiguous"}
[2024-12-29 00:22:27] POST login | status: 400 | Dados: {"nome":"cassio","cargo":"prof","codigo":"0000","senha":"cassio","id_empresa":1} | Resposta: {"error":"N\u00e3o existe user com esses par\u00e2metros"}
[2024-12-29 00:23:21] POST ativaEmpresa | status: 400 | Dados: {"id":1} | Resposta: {"error":"Voce nao tem autorizacao de atualiza essa empresa !!!"}
[2024-12-29 10:07:36] POST login | status: 400 | Dados: {"nome":"aluisio lima","cargo":"dev","codigo":"0612","senha":"12345","id_empresa":1} | Resposta: {"error":"Sua senha est\u00e1 errada!!!"}
[2024-12-29 10:08:16] POST pegarArquivo | status: 401 | Dados: [] | Resposta: {"unauthorized":"Desculpada mais voce nao passou o Token"}
[2024-12-29 10:08:37] POST pegarArquivo | status: 401 | Dados: [] | Resposta: {"unauthorized":"Voce nao esta autorizado a essa operacao faca login"}
[2024-12-29 10:08:46] POST pegarArquivo | status: 401 | Dados: [] | Resposta: {"unauthorized":"Voce nao esta autorizado a essa operacao faca login"}
[2024-12-29 13:54:47] DELETE deletaArquivo | status: 404 | Dados: [] | Resposta: {"error":"Essa rota nao existe!!!"}
[2024-12-29 13:55:45] DELETE deleteArquivo | status: 401 | Dados: [] | Resposta: {"unauthorized":"Desculpada mais voce nao passou o Token"}
[2024-12-29 13:56:50] DELETE deleteArquivo | status: 400 | Dados: [] | Resposta: {"error":"O campo { id } e obrigatorio!!"}
[2024-12-29 13:57:19] DELETE deleteArquivo | status: 400 | Dados: {"id":1} | Resposta: {"error":"SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`efast`.`produtos`, CONSTRAINT `produtos_ibfk_2` FOREIGN KEY (`id_img`) REFERENCES `arquivo` (`id_arquivo`))"}
[2024-12-29 14:28:40] POST inserirPedido/1 | status: 400 | Dados: {"nome":"aluisio","tipo_pagamento":"pix","entrega":true,"bairro":"klnshdlahd","rua":"hSksu","numero_casa":3874893,"produtos":[{"id":1,"quantidade":3}]} | Resposta: {"error":"As chave {id && quantidade} sao obrigatorias."}
[2024-12-29 14:30:05] POST inserirPedido/1 | status: 400 | Dados: {"nome":"aluisio","tipo_pagamento":"pix","entrega":true,"bairro":"klnshdlahd","rua":"hSksu","numero_casa":3874893,"produtos":[{"id":1,"quantidade":3,"desconto_aplicado":12},{"id":2,"quantidade":2}]} | Resposta: {"error":"As chave {id && quantidade && desconto_aplicado} sao obrigatorias."}
[2024-12-29 14:30:28] POST inserirPedido/1 | status: 400 | Dados: {"nome":"aluisio","tipo_pagamento":"pix","entrega":true,"bairro":"klnshdlahd","rua":"hSksu","numero_casa":3874893,"produtos":[{"id":1,"quantidade":3,"desconto_aplicado":12},{"id":2,"quantidade":2,"desconto_aplicado":"di"}]} | Resposta: {"error":"As chave {id && quantidade && desconto_aplicado} estao vazias ou seu valores sao diferente (int)."}
[2024-12-29 14:33:22] POST inserirPedido/1 | status: 400 | Dados: {"nome":"aluisio","tipo_pagamento":"pix","entrega":true,"bairro":"klnshdlahd","rua":"hSksu","numero_casa":3874893,"produtos":[{"id":1,"quantidade":3,"desconto_aplicado":12},{"id":2,"quantidade":2,"desconto_aplicado":30}]} | Resposta: {"error":"SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'numero_mesa' at row 1"}
